data,produto,cidade,quantidade,preco_unitario,valor_venda
2026-01-05,Laptop,Maputo,2,45000,90000
2026-01-08,Monitor,Matola,3,15000,45000
2026-01-12,Teclado,Maputo,8,1800,14400
2026-01-18,Rato,Boane,10,900,9000
2026-01-25,Laptop,Matola,1,45000,45000
2026-02-03,Monitor,Maputo,4,15000,60000
2026-02-09,Teclado,Boane,12,1800,21600
2026-02-14,Rato,Matola,15,900,13500
2026-02-20,Impressora,Maputo,2,12500,25000
2026-02-27,Laptop,Boane,2,45000,90000
2026-03-04,Monitor,Matola,5,15000,75000
2026-03-10,Teclado,Maputo,10,1800,18000
2026-03-16,Rato,Boane,20,900,18000
2026-03-22,Impressora,Matola,3,12500,37500
2026-03-29,Laptop,Maputo,3,45000,135000
2026-04-06,Monitor,Boane,4,15000,60000
2026-04-11,Teclado,Matola,15,1800,27000
2026-04-17,Rato,Maputo,18,900,16200
2026-04-23,Impressora,Boane,2,12500,25000
2026-04-28,Laptop,Matola,2,45000,90000
